Stimulus,SUPPORT,PRESSURE,CONSTRAINT,COVERING,VISIBILITY,SUPPORT_Completion_Text,PRESSURE_Completion_Text,CONSTRAINT_Completion_Text,COVERING_Completion_Text,VISIBILITY_Completion_Text
Pat has been on sick leave,4,1,4,4,4,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""Pat has been on sick leave""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""Pat has been on sick leave""? I choose the number 1.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""Pat has been on sick leave""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""Pat has been on sick leave""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""Pat has been on sick leave""? I choose the number 4.
In the"
There is a parade on Sunday,4,1,1,4,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""There is a parade on Sunday""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""There is a parade on Sunday""? I choose the number 1.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""There is a parade on Sunday""? I choose the number 1.
The concept","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""There is a parade on Sunday""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""There is a parade on Sunday""? I choose the number 7.

The"
The program will be broadcast on CBS,7,1,1,7,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 1.

The","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 1.
The concept","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 7.

The"
Joan works on the committee,7,1,7,4,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""Joan works on the committee""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""Joan works on the committee""? I choose the number 1.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""Joan works on the committee""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""Joan works on the committee""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""Joan works on the committee""? I choose the number 7.
In the"
Linda is very knowledgeable on this subject,7,1,4,7,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 7.

The","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 1.

The","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 4.
In this","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 7.
On a"
The factory workers are on strike for a second day,4,1,1,1,4,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 1.
The concept","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 1.
The concept","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 1.
The concept","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 4.
In the"
These cold nights are very hard on the homeless,7,7,7,7,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
In this","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
In the"
They ordered a court martial to be held on him,7,1,7,7,4,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 1.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 7.
In this","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 4.
In the"
Pam is on a diet,4,2,7,4,4,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""Pam is on a diet""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""Pam is on a diet""? I choose the number 2.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""Pam is on a diet""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""Pam is on a diet""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""Pam is on a diet""? I choose the number 4.
In the"
The dog is on the leash,7,4,7,7,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""The dog is on the leash""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""The dog is on the leash""? I choose the number 4.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""The dog is on the leash""? I choose the number 7.

The","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""The dog is on the leash""? I choose the number 7.
In the","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""The dog is on the leash""? I choose the number 7.

The"
