Stimulus,SUPPORT,PRESSURE,CONSTRAINT,COVERING,VISIBILITY,SUPPORT_Completion_Text,PRESSURE_Completion_Text,CONSTRAINT_Completion_Text,COVERING_Completion_Text,VISIBILITY_Completion_Text
Pat has been on sick leave,1,1,1,1,1,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""Pat has been on sick leave""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""Pat has been on sick leave""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""Pat has been on sick leave""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""Pat has been on sick leave""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""Pat has been on sick leave""? I choose the number 1.
On a"
There is a parade on Sunday,1,1,1,7,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""There is a parade on Sunday""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""There is a parade on Sunday""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""There is a parade on Sunday""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""There is a parade on Sunday""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""There is a parade on Sunday""? I choose the number 7.
On a"
The program will be broadcast on CBS,1,1,1,7,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""The program will be broadcast on CBS""? I choose the number 7.
On a"
Joan works on the committee,7,1,1,1,1,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""Joan works on the committee""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""Joan works on the committee""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""Joan works on the committee""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""Joan works on the committee""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""Joan works on the committee""? I choose the number 1.
On a"
Linda is very knowledgeable on this subject,1,1,1,1,1,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""Linda is very knowledgeable on this subject""? I choose the number 1.
On a"
The factory workers are on strike for a second day,1,1,1,1,1,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""The factory workers are on strike for a second day""? I choose the number 1.
On a"
These cold nights are very hard on the homeless,7,7,7,7,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""These cold nights are very hard on the homeless""? I choose the number 7.
On a"
They ordered a court martial to be held on him,7,1,1,7,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""They ordered a court martial to be held on him""? I choose the number 7.
On a"
Pam is on a diet,1,1,1,1,1,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""Pam is on a diet""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""Pam is on a diet""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""Pam is on a diet""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""Pam is on a diet""? I choose the number 1.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""Pam is on a diet""? I choose the number 1.
On a"
The dog is on the leash,7,7,7,7,7,"In the case of the use of ""on"" in ""the book is on the desk"": the SUPPORT relation refers to the desk supporting the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept SUPPORT in regards to the phrase: ""The dog is on the leash""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the PRESSURE relation refers to the book exerting some pressure on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept PRESSURE in regards to the phrase: ""The dog is on the leash""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the CONSTRAINT relation refers to the desk constraining the possible motions of the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept CONSTRAINT in regards to the phrase: ""The dog is on the leash""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the COVERING relation refers to the book concealing the part of the desk that is under the book.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept COVERING in regards to the phrase: ""The dog is on the leash""? I choose the number 7.
On a","In the case of the use of ""on"" in ""the book is on the desk"": the VISIBILITY relation refers to the book being visible on the desk.
On a scale from 1 (not at all appropriate) to 7 (very appropriate), how appropriate is the concept VISIBILITY in regards to the phrase: ""The dog is on the leash""? I choose the number 7.
On a"
